rose 玫瑰花
tulip 郁金香
balsam 凤仙花
canna 美人蕉
lily 百合花
jasmine 茉莉
sweet pea 香豌豆花
sunflower 向日葵
geranium 大竺葵
morning-glory 牵牛花
cosmos 大波斯菊
pansy 三色堇
poppy 罂粟花
marigold 金盏花
carnation 麝香石竹
amaryllis 孤挺花
dahlia 大丽花
pink 石竹花
crocus 番红花
iris 蝴蝶花
hyacinth 风信花
daffodil 黄水仙
chrysanthemum 菊
marguerite 雏菊
gladiolus 剑兰
magnolia 木兰
yucca 丝兰
orchid 兰花
freesia 小苍兰
cyclamen 仙客来
begonia 秋海棠
anemone 银莲花
wisteria 柴藤
redbud 紫荆
dogwood 山茱萸
hawthorn 山楂
camellia 山茶
hydrangea 八仙花
hibiscus 木槿
peony 芍药
azalea 杜鹃
rhododendron 杜鹃花
daphne 瑞香
gardenia 栀子
lilac 紫丁香
cereus 仙人掌
apple 苹果
pear 梨
orange 桔子
quince 柑橘
apricot 杏
plum 洋李
pistil 雌蕊
ovary 子房
petal 花瓣
anther 花药
stamen 雄蕊
sepal 萼片
stalk 花柄
pollen 花粉
