pine ËÉ
cerdar Ñ©ËÉÀà
larch ÂäÒ¶ËÉ
juniper ¶ÅËÉ
cone ËÉ¹û
cypress °ØÊ÷
bamboo Öñ
box »ÆÑî
poplar °×Ñî
cottonwood Èı½ÇÒ¶Ñî
osier ×ÏÆ¤ÁøÊ÷
willow ´¹Áø
birch °×èë
maple ·ãÊ÷
sequoia ºìÉ¼
fir ÀäÉ¼
spruce ÔÆÉ¼
yew ×ÏÉ¼
eucalytus èñÊ÷
locust Ñó»±
wattle ½ğºÏ»¶Ê÷
rosewood ×ÏÌ´
ebony ÎÚÌ´
sandalwood Ì´ÏãÄ¾
satinwood é²Ä¾
linden é²Ê÷
rowan Å·ÖŞÉ½Àæ
teak èÖÄ¾Ê÷
elm ÓÜÄ¾Ê÷
oak ÏğÊ÷
acorn ÏğÊ÷¹û
sycamore ÃÀ¹úÎàÍ©
ginkgo ÒøĞÓÊ÷
holly ¶¬Çà
coco Ò¬Ê÷
date ÔæÒ¬Ê÷
hickory É½ºËÌÒÊ÷
beech É½Ã«é·
blackthorn ºÚ´ÌÀî
baobab ºïÃæ°üÊ÷
elder ½Ó¹ÇÄ¾
myrtle ÌÒ½ğÄï¿ÆÖ²Îï
cycad ËÕÌú
treetop Ê÷ÉÒ
branch Ê÷Ö¦
twig Ğ¡Ê÷Ö¦
bough ´óÊ÷Ö¦
knot Ê÷½Ú
trunk Ê÷¸É
leaf Ê÷Ò¶
sprout ĞÂÑ¿
sapling Ê÷Ãç
stump Ê÷×®
root Ê÷¸ù
taproot Ö÷¸ù
bark Ê÷Æ¤
resin Ê÷Ö¬
pith Ä¾Ëè
cambium ĞÎ³É²ã
ring ÄêÂÖ
wood Ä¾²Ä
